TYPE,DOCNO,ORDERNO,ODATE,RDATE,IDATE,REPCODE,STATUS,DESCRIP,ACCNO,CLIENT,ADDR1,ADDR2,ADDR3,PCODE,CORDER,CHECKER,REPCNT,PTYPE,QUOTENO,DEL,USER,EUSER,TIME,DOCNDX,DNAME,DADDR1,DADDR2,DADDR3,DINSTR1,DINSTR2,DINSTR3,EXCODE,EXRATE,DELIVER,CONSIGN
I,001495,001460,1899-12-30,1899-12-30,2024-07-02,003,,,PA0400,PRESTIGE AWARDS (PTY) LTD,419 CORK AVE,"FERNDALE, RANDBURG",,,,,0,1,,,,,,I001460,,,,,,,,00,1.0,,
I,001496,001466,1899-12-30,1899-12-30,2024-07-03,003,,,TDG020,TAO DESIGNER GLASS,"P.O. BOX 5032, MEADOWDALE","30 GREEN STREET, WITFIELD",,1615,WP ANGLING,,0,1,,,,,,I001466,,,,,,,,00,1.0,,
I,001497,001470,1899-12-30,1899-12-30,2024-07-03,003,,,CTR010,CLASSIQUE TROPHIES & RESIN,39 GORST AVENUE,PRIMROSE HILL,GERMISTON,1401,,,0,1,,,,,,I001470,,,,,,,,00,1.0,,
O,001472,001472,2024-07-03,2024-07-03,1899-12-30,003,I,,TA0100,ANTEL TRADING (PTY) LTD,T/A: TROPHY AFRICA,SHOP 3; HEATHWAY CENTRE,BLACKHEATH,,,BIANCA P,1,1,,,BIANCA P,BIANCA P,08:42,O001472,BRUCE: 0823308029,,"PO BOX 2134, NORTHCLIFF, 2115",OLD OWNERS: ELSABE,MAIL@TROPHYAFRICA.CO.ZA,,,00,1.0,C,N
O,001473,001473,2024-07-03,2024-07-03,1899-12-30,003,I,,HD0100,HELIUM DESIGN CC,39 EDENDALE ROAD,"EDENGLEN, EDENVALE",,1609,,BIANCA P,2,1,,,BIANCA P,BIANCA P,09:47,O001473,,076 423 4210 KEITH,082 080 9473 GRANT,082 411 2878 ANDREA,,,,00,1.0,C,N
O,001474,001474,2024-07-03,2024-07-03,1899-12-30,003,I,,TE0300,TOCKNELL ENGRAVERS,SHOP 9 PRELLER WALK,GEN HERTZOG AVE; DAN PIENAAR,BLOEMFONTEIN,9324,,BIANCA P,1,1,,,BIANCA P,BIANCA P,11:10,O001474,,"OLD: SHOP 37, BRANDWAG CENTRE",BLOEMFONTEIN,POB 12828;BRANDHOF;9324,,,,00,1.0,C,N
O,001475,001475,2024-07-03,2024-07-03,1899-12-30,001,I,,CGA000,COMERCIO GERAL ACHIEES/ GIFT & CORPORATE,"MAPUTO SHOPPNG CNT, SHOP G11",MAPUTO,MOZAMBIQUE,,,ESTHER,1,1,,,ESTHER,ESTHER,11:54,O001475,,TIME FREIGHT ADRESS,"SHOP 4, BACELIA CENTRE","RISSIK RD, KOMATIPOORT",,,,00,1.0,C,N
I,001500,001475,1899-12-30,1899-12-30,2024-07-03,001,,,CGA000,COMERCIO GERAL ACHIEES/ GIFT & CORPORATE,"MAPUTO SHOPPNG CNT, SHOP G11",MAPUTO,MOZAMBIQUE,,,,0,1,,,,,,I001475,,,,,,,,00,1.0,,
O,001476,001476,2024-07-03,2024-07-03,1899-12-30,003,I,,TB0100,TROPHY BOUTIQUE,301 TREVOR GETHING; CNR OF,JACQUELINE & TREVOR GETHING,"GARSFONTEIN, PRETORIA",0042,,BIANCA P,4,1,,,BIANCA P,BIANCA P,13:06,O001476,,P.O. BOX 335,GARSFONTEIN WEST,0042,COENIE@TROPHYMB.CO.ZA,,,00,1.0,C,N
O,001477,001477,2024-07-03,2024-07-03,1899-12-30,003,C,,DST010,D&S TROPHIES,13 TAGORE STREET,AZAADVILLE,KRUGERSDORP,,,,1,1,,,BIANCA P,BIANCA P,13:06,O001477,,,,,,,,00,1.0,C,N
O,001478,001478,2024-07-04,2024-07-04,1899-12-30,003,I,,PA0400,PRESTIGE AWARDS (PTY) LTD,419 CORK AVE,"FERNDALE, RANDBURG",,,,BIANCA P,1,1,,,BIANCA P,BIANCA P,07:51,O001478,,P.O. BOX 444,FERNDALE 2160,LESLEY/JENNY,JENNY / FIONA,,,00,1.0,C,N
I,001501,001474,1899-12-30,1899-12-30,2024-07-04,003,,,TE0300,TOCKNELL ENGRAVERS,SHOP 9 PRELLER WALK,GEN HERTZOG AVE; DAN PIENAAR,BLOEMFONTEIN,9324,,,0,1,,,,,,I001474,,,,,,,,00,1.0,,
O,001479,001479,2024-07-04,2024-07-04,1899-12-30,003,C,,IT0100,ITROPHIES (PTY) LTD,80 MAIN ROAD,FARRAMERE,BENONI,,FEDISA,,1,1,,,BIANCA P,BIANCA P,09:11,O001479,,,,,,,,00,1.0,C,N
I,001502,001457,1899-12-30,1899-12-30,2024-07-04,003,,,E04000,ENGRAVERS,SHOP 40 PROTEA CENTRE,HIGH STREET,BRIXTON,,,,0,1,,,,,,I001457,,,,,,,,00,1.0,,
O,001480,001480,2024-07-04,2024-07-04,1899-12-30,003,I,,TDG020,TAO DESIGNER GLASS,"P.O. BOX 5032, MEADOWDALE","30 GREEN STREET, WITFIELD",,1615,SAMPLES,BIANCA P,2,1,,,BIANCA P,BIANCA P,10:48,O001480,,,,,,,,00,1.0,C,N
O,001481,001481,2024-07-04,2024-07-04,1899-12-30,003,C,,TDG020,TAO DESIGNER GLASS,"P.O. BOX 5032, MEADOWDALE","30 GREEN STREET, WITFIELD",,1615,,,1,1,,,BIANCA P,BIANCA P,10:49,O001481,,,,,,,,00,1.0,C,N
O,001482,001482,2024-07-04,2024-07-04,1899-12-30,003,I,,TDG020,TAO DESIGNER GLASS,"P.O. BOX 5032, MEADOWDALE","30 GREEN STREET, WITFIELD",,1615,CECIL NURSE,BIANCA P,1,1,,,BIANCA P,BIANCA P,10:51,O001482,,,,,,,,00,1.0,C,N
O,001483,001483,2024-07-04,2024-07-04,1899-12-30,001,I,,MSB010,MDLAYI SPORTS BRAND,20685 ORINOCO CRESCENT,PROTEA GLEN EXT 20 SOWETO,GAUTENG,1818,,ESTHER,1,1,,,ESTHER,ESTHER,12:03,O001483,,,,,TROPHIES.BADGES@GMAIL.COM,,,00,1.0,C,N
I,001503,001483,1899-12-30,1899-12-30,2024-07-04,001,,,MSB010,MDLAYI SPORTS BRAND,20685 ORINOCO CRESCENT,PROTEA GLEN EXT 20 SOWETO,GAUTENG,1818,,,0,1,,,,,,I001483,,,,,,,,00,1.0,,
I,001504,001478,1899-12-30,1899-12-30,2024-07-04,003,,,PA0400,PRESTIGE AWARDS (PTY) LTD,419 CORK AVE,"FERNDALE, RANDBURG",,,,,0,1,,,,,,I001478,,,,,,,,00,1.0,,
O,001484,001484,2024-07-04,2024-07-04,1899-12-30,003,I,,CIG010,CAST IN GLASS,7 SERCAL CRESCENT,"GOEDEMOED, DURBANVILLE",,7550,REMAX,BIANCA P,4,1,,,BIANCA P,BIANCA P,16:20,O001484,,BOX 1743,DURBANVILLE,7551,,,,00,1.0,C,N
I,001505,001480,1899-12-30,1899-12-30,2024-07-05,003,,,TDG020,TAO DESIGNER GLASS,"P.O. BOX 5032, MEADOWDALE","30 GREEN STREET, WITFIELD",,1615,SAMPLES,,0,1,,,,,,I001480,,,,,,,,00,1.0,,
I,001506,001482,1899-12-30,1899-12-30,2024-07-05,003,,,TDG020,TAO DESIGNER GLASS,"P.O. BOX 5032, MEADOWDALE","30 GREEN STREET, WITFIELD",,1615,CECIL NURSE,,0,1,,,,,,I001482,,,,,,,,00,1.0,,
O,001485,001485,2024-07-05,2024-07-05,1899-12-30,001,I,,FP0200,FIRST PRIZE TROPHIES,3785 JAN FREDERICK AVE,RANDPARK RIDGE,,,,ESTHER,2,1,,,ESTHER,ESTHER,08:54,O001485,INFO/SALES@FIRSTPRIZE.CO.ZA,P O BOX 2435,HONEYDEW,2040,NOELEN@FIRSTPRIZE.CO.ZA,,,00,1.0,C,N
O,001486,001486,2024-07-05,2024-07-05,1899-12-30,003,I,,PA0400,PRESTIGE AWARDS (PTY) LTD,419 CORK AVE,"FERNDALE, RANDBURG",,,,BIANCA P,1,1,,,BIANCA P,BIANCA P,09:20,O001486,,P.O. BOX 444,FERNDALE 2160,LESLEY/JENNY,JENNY / FIONA,,,00,1.0,C,N
O,001487,001487,2024-07-05,2024-07-05,1899-12-30,003,I,,CTR010,CLASSIQUE TROPHIES & RESIN,39 GORST AVENUE,PRIMROSE HILL,GERMISTON,1401,,BIANCA P,1,1,000188,,BIANCA P,BIANCA P,09:20,O001487,,,,,SALES@CLASSIQUETROPHIES.CO.ZA,,,00,1.0,C,N
I,001508,001485,1899-12-30,1899-12-30,2024-07-05,001,,,FP0200,FIRST PRIZE TROPHIES,3785 JAN FREDERICK AVE,RANDPARK RIDGE,,,,,0,1,,,,,,I001485,,,,,,,,00,1.0,,
I,001509,001476,1899-12-30,1899-12-30,2024-07-05,003,,,TB0100,TROPHY BOUTIQUE,301 TREVOR GETHING; CNR OF,JACQUELINE & TREVOR GETHING,"GARSFONTEIN, PRETORIA",0042,,,0,1,,,,,,I001476,,,,,,,,00,1.0,,
O,001488,001488,2024-07-05,2024-07-05,1899-12-30,001,I,,JAM010,JAMNADAS C&C,82 KERK STREET,POLOKWANE,,0759,,ESTHER,5,1,,,ESTHER,ESTHER,10:54,O001488,,P.O. BOX 31155,SUPERBJA,0759,,,,00,1.0,C,N
I,001510,001486,1899-12-30,1899-12-30,2024-07-05,003,,,PA0400,PRESTIGE AWARDS (PTY) LTD,419 CORK AVE,"FERNDALE, RANDBURG",,,,,0,1,,,,,,I001486,,,,,,,,00,1.0,,
O,001489,001489,2024-07-05,2024-07-05,1899-12-30,001,I,,3DCS01,3D CRYSTAL STUDIOS,11 ROOS BOLTON CRESCENT,KNYSNA HEIGHTS,"KNYSNA, WESTERN CAPE",6571,,ESTHER,4,1,,,ESTHER,ESTHER,11:55,O001489,,"55 VISTA RD, WATERFALL",3610,,NIELDRICHARD@GMAIL.COM,,,00,1.0,C,N
I,001511,001487,1899-12-30,1899-12-30,2024-07-05,003,,,CTR010,CLASSIQUE TROPHIES & RESIN,39 GORST AVENUE,PRIMROSE HILL,GERMISTON,1401,,,0,1,,,,,,I001487,,,,,,,,00,1.0,,
I,001512,001488,1899-12-30,1899-12-30,2024-07-05,001,,,JAM010,JAMNADAS C&C,82 KERK STREET,POLOKWANE,,0759,,,0,1,,,,,,I001488,,,,,,,,00,1.0,,
O,001490,001490,2024-07-05,2024-07-05,1899-12-30,003,I,,CBT010,CLEAR BRANDS TRADING,UNIT 66 MONTERREY,TROUPANT AVE MAGALIESSIG EXT33,SANDTON,2191,,BIANCA P,2,1,,,BIANCA P,BIANCA P,12:32,O001490,,P O BOX 55021,NORTHLANDS,2116,,,,00,1.0,C,N
O,001491,001491,2024-07-05,2024-07-05,1899-12-30,001,I,,T4U010,RUBBER STAMP COMPANY(PTY)LTD,"SHOP 1, CHAMBERLAINS",44 CHAMBERLAIN RD,"BEREA, EAST LONDON",5241,,ESTHER,1,1,,,ESTHER,ESTHER,13:22,O001491,,P O BOX 19363,TECOMA,5214,,,,00,1.0,C,N
I,001513,001491,1899-12-30,1899-12-30,2024-07-05,001,,,T4U010,RUBBER STAMP COMPANY(PTY)LTD,"SHOP 1, CHAMBERLAINS",44 CHAMBERLAIN RD,"BEREA, EAST LONDON",5241,,,0,1,,,,,,I001491,,,,,,,,00,1.0,,
O,001492,001492,2024-07-08,2024-07-08,1899-12-30,003,I,,TB0100,TROPHY BOUTIQUE,301 TREVOR GETHING; CNR OF,JACQUELINE & TREVOR GETHING,"GARSFONTEIN, PRETORIA",0042,,BIANCA P,2,1,,,BIANCA P,BIANCA P,07:57,O001492,,P.O. BOX 335,GARSFONTEIN WEST,0042,COENIE@TROPHYMB.CO.ZA,,,00,1.0,C,N
O,001493,001493,2024-07-08,2024-07-08,1899-12-30,003,I,,IT0100,ITROPHIES (PTY) LTD,80 MAIN ROAD,FARRAMERE,BENONI,,MOWORLD,BIANCA P,1,1,,,BIANCA P,BIANCA P,08:12,O001493,,,,,,,,00,1.0,C,N
O,001494,001494,2024-07-08,2024-07-08,1899-12-30,003,C,,IT0100,ITROPHIES (PTY) LTD,80 MAIN ROAD,FARRAMERE,BENONI,,SAHETI,,1,1,,,BIANCA P,BIANCA P,08:13,O001494,,,,,,,,00,1.0,C,N
O,001495,001495,2024-07-08,2024-07-08,1899-12-30,001,C,,SPW010,SPORTWIZE (PTY) LTD,1033 ROAD,3 ALLENS NEK,ROODEPOORT,,,ESTHER,1,1,,,ESTHER,ESTHER,08:55,O001495,,,,,,,,00,1.0,C,N
O,001496,001496,2024-07-08,2024-07-08,1899-12-30,003,I,,TDG020,TAO DESIGNER GLASS,"P.O. BOX 5032, MEADOWDALE","30 GREEN STREET, WITFIELD",,1615,ALM,BIANCA P,1,1,,,BIANCA P,BIANCA P,10:26,O001496,,,,,,,,00,1.0,C,N
I,001515,001472,1899-12-30,1899-12-30,2024-07-08,003,,,TA0100,ANTEL TRADING (PTY) LTD,T/A: TROPHY AFRICA,SHOP 3; HEATHWAY CENTRE,BLACKHEATH,,,,0,1,,,,,,I001472,,,,,,,,00,1.0,,
I,001516,001490,1899-12-30,1899-12-30,2024-07-08,003,,,CBT010,CLEAR BRANDS TRADING,UNIT 66 MONTERREY,TROUPANT AVE MAGALIESSIG EXT33,SANDTON,2191,,,0,1,,,,,,I001490,,,,,,,,00,1.0,,
O,001497,001497,2024-07-08,2024-07-08,1899-12-30,001,I,,TC0700,TROPHY CENTRE,SHOP 010B; PARK BOULEVARD,SHOPPING CENTRE; 11 BROWN,DRIFT ROAD; UMGENI PARK; DURBA,,,ESTHER,2,1,,,ESTHER,ESTHER,14:08,O001497,"KOORNHOF & ESSEX RD, MEADOWDALE",P.O. BOX 60,UMGENI PARK,4098,THE MEADOW (KEMTRADE) CNR,,,00,1.0,C,N
I,001518,001492,1899-12-30,1899-12-30,2024-07-08,003,,,TB0100,TROPHY BOUTIQUE,301 TREVOR GETHING; CNR OF,JACQUELINE & TREVOR GETHING,"GARSFONTEIN, PRETORIA",0042,,,0,1,,,,,,I001492,,,,,,,,00,1.0,,
I,001519,001497,1899-12-30,1899-12-30,2024-07-08,001,,,TC0700,TROPHY CENTRE,SHOP 010B; PARK BOULEVARD,SHOPPING CENTRE; 11 BROWN,DRIFT ROAD; UMGENI PARK; DURBA,,,,0,1,,,,,,I001497,,,,,,,,00,1.0,,
O,001498,001498,2024-07-09,2024-07-09,1899-12-30,001,I,,SN0200,TROJAN GLASSWORKS CC,"NGWENYA GLASS VILLAGE,",C/O BEYERS NAUDE&R114 DIEPSLOT,MULDERSDRIFT;,1747,,ESTHER,2,1,,,ESTHER,ESTHER,08:22,O001498,(MONIQUE),P.O.BOX 321,MULDERSDRIFT 1747,BUZZ: 082-785-7397,,,,00,1.0,C,N
I,001520,001489,1899-12-30,1899-12-30,2024-07-09,001,,,3DCS01,3D CRYSTAL STUDIOS,11 ROOS BOLTON CRESCENT,KNYSNA HEIGHTS,"KNYSNA, WESTERN CAPE",6571,,,0,1,,,,,,I001489,,,,,,,,00,1.0,,
I,001525,001493,1899-12-30,1899-12-30,2024-07-09,003,,,IT0100,ITROPHIES (PTY) LTD,80 MAIN ROAD,FARRAMERE,BENONI,,MOWORLD,,0,1,,,,,,I001493,,,,,,,,00,1.0,,
O,001499,001499,2024-07-10,2024-07-10,1899-12-30,001,I,,CWMT01,COUNTRY WIDE MEDALS & TROPHIES,66 WEPENER STREET,BOOYSENS,,2091,,ESTHER,1,1,,,ESTHER,ESTHER,09:36,O001499,CWDAVID.FELDMAN@GMAIL.COM,P.O BOX 82433,SOUTHDALE,2135,CWRECEPTION@MWEB.CO.ZA,,,00,1.0,C,N
I,001526,001498,1899-12-30,1899-12-30,2024-07-10,001,,,SN0200,TROJAN GLASSWORKS CC,"NGWENYA GLASS VILLAGE,",C/O BEYERS NAUDE&R114 DIEPSLOT,MULDERSDRIFT;,1747,,,0,1,,,,,,I001498,,,,,,,,00,1.0,,
I,001527,001499,1899-12-30,1899-12-30,2024-07-10,001,,,CWMT01,COUNTRY WIDE MEDALS & TROPHIES,66 WEPENER STREET,BOOYSENS,,2091,,,0,1,,,,,,I001499,,,,,,,,00,1.0,,
O,001500,001500,2024-07-10,2024-07-10,1899-12-30,003,I,,TA0100,ANTEL TRADING (PTY) LTD,T/A: TROPHY AFRICA,SHOP 3; HEATHWAY CENTRE,BLACKHEATH,,,BIANCA P,2,1,,,BIANCA P,BIANCA P,10:08,O001500,BRUCE: 0823308029,,"PO BOX 2134, NORTHCLIFF, 2115",OLD OWNERS: ELSABE,MAIL@TROPHYAFRICA.CO.ZA,,,00,1.0,C,N
O,001501,001501,2024-07-10,2024-07-10,1899-12-30,001,I,,SN0200,TROJAN GLASSWORKS CC,"NGWENYA GLASS VILLAGE,",C/O BEYERS NAUDE&R114 DIEPSLOT,MULDERSDRIFT;,1747,,ESTHER,1,1,,,ESTHER,ESTHER,10:18,O001501,(MONIQUE),P.O.BOX 321,MULDERSDRIFT 1747,BUZZ: 082-785-7397,,,,00,1.0,C,N
I,001528,001501,1899-12-30,1899-12-30,2024-07-10,001,,,SN0200,TROJAN GLASSWORKS CC,"NGWENYA GLASS VILLAGE,",C/O BEYERS NAUDE&R114 DIEPSLOT,MULDERSDRIFT;,1747,,,0,1,,,,,,I001501,,,,,,,,00,1.0,,
O,001502,001502,2024-07-10,2024-07-10,1899-12-30,001,I,,CP0100,CLASSIQUE PROMOTIONS,452 KERSTREL CRESCENT,RABIE RIDGE,MIDRAND,,,ESTHER,2,1,,,ESTHER,ESTHER,11:04,O001502,,,,,,,,00,1.0,C,N
I,001530,001502,1899-12-30,1899-12-30,2024-07-10,001,,,CP0100,CLASSIQUE PROMOTIONS,452 KERSTREL CRESCENT,RABIE RIDGE,MIDRAND,,,,0,1,,,,,,I001502,,,,,,,,00,1.0,,
O,001503,001503,2024-07-10,2024-07-10,1899-12-30,003,I,,TB0100,TROPHY BOUTIQUE,301 TREVOR GETHING; CNR OF,JACQUELINE & TREVOR GETHING,"GARSFONTEIN, PRETORIA",0042,,BIANCA P,1,1,,,BIANCA P,BIANCA P,11:50,O001503,,P.O. BOX 335,GARSFONTEIN WEST,0042,COENIE@TROPHYMB.CO.ZA,,,00,1.0,C,N
O,001504,001504,2024-07-10,2024-07-10,1899-12-30,001,I,,UBMM01,UNIVERSAL BADGE,NO 59; 9TH AVENUE,NORTH MEAD,BENONI,,,ESTHER,1,1,,,ESTHER,ESTHER,12:18,O001504,,"OLD"" 37 GOLDEN DRIVE",UNITE 1 GOLDENDUSTRIA,MOREHILL EXT 8. BENONI,,,,00,1.0,C,N
I,001532,001504,1899-12-30,1899-12-30,2024-07-10,001,,,UBMM01,UNIVERSAL BADGE,NO 59; 9TH AVENUE,NORTH MEAD,BENONI,,,,0,1,,,,,,I001504,,,,,,,,00,1.0,,
I,001533,001503,1899-12-30,1899-12-30,2024-07-10,003,,,TB0100,TROPHY BOUTIQUE,301 TREVOR GETHING; CNR OF,JACQUELINE & TREVOR GETHING,"GARSFONTEIN, PRETORIA",0042,,,0,1,,,,,,I001503,,,,,,,,00,1.0,,
I,001535,001441,1899-12-30,1899-12-30,2024-07-11,003,,,TDG020,TAO DESIGNER GLASS,"P.O. BOX 5032, MEADOWDALE","30 GREEN STREET, WITFIELD",,1615,LENOVO,,0,1,,,,,,I001441,,,,,,,,00,1.0,,
O,001505,001505,2024-07-11,2024-07-11,1899-12-30,003,C,,FM0200,HYPENOTIK DESIGNS,293 PEERBOOM STR,DOORNPOORT,PRETORIA,0017,,BIANCA P,1,1,,,BIANCA P,BIANCA P,07:48,O001505,,P.O. BOX 13896,SINOVILLE,PRETORIA/0129,,,,00,1.0,C,N
O,001506,001506,2024-07-11,2024-07-11,1899-12-30,001,I,,TP0200,TROPHIES AND PLAQUES (PTY) LTD,TRADING AS: TROPHYSTORE,"UNIT H1 ROETE 24, 50 HERMAN ST","MEADOWDALE, GERMISTON",1609,,ESTHER,1,1,,,ESTHER,ESTHER,09:46,O001506,,,,,ELOISE@TROPHYSTORE.CO.ZA,,,00,1.0,C,N
I,001537,001506,1899-12-30,1899-12-30,2024-07-11,001,,,TP0200,TROPHIES AND PLAQUES (PTY) LTD,TRADING AS: TROPHYSTORE,"UNIT H1 ROETE 24, 50 HERMAN ST","MEADOWDALE, GERMISTON",1609,,,0,1,,,,,,I001506,,,,,,,,00,1.0,,
I,001538,001473,1899-12-30,1899-12-30,2024-07-11,003,,,HD0100,HELIUM DESIGN CC,39 EDENDALE ROAD,"EDENGLEN, EDENVALE",,1609,,,0,1,,,,,,I001473,,,,,,,,00,1.0,,
O,001507,001507,2024-07-11,2024-07-11,1899-12-30,003,I,,TB0100,TROPHY BOUTIQUE,301 TREVOR GETHING; CNR OF,JACQUELINE & TREVOR GETHING,"GARSFONTEIN, PRETORIA",0042,,BIANCA P,3,1,,,BIANCA P,BIANCA P,15:33,O001507,,P.O. BOX 335,GARSFONTEIN WEST,0042,COENIE@TROPHYMB.CO.ZA,,,00,1.0,C,N
O,001508,001508,2024-07-11,2024-07-11,1899-12-30,003,I,,TT0700,TRUST TROPHIES,3 BUSHBUCK STR,"MCKENZIE PARK, BENONI",,1501,,BIANCA P,2,1,,,BIANCA P,BIANCA P,15:33,O001508,,JOHANN DE WAAL JNR,    CELL: 083 430 3385,    OFFICE: 0871 600 506,,,,00,1.0,C,N
O,001509,001509,2024-07-11,2024-07-11,1899-12-30,001,I,,TSS020,TROPHY SUPA SUPPLY T/A TROPHYCITY MEGA S,ALLANDALE INDUSTRIAL PARK,"UNIT G85,CNR LE ROUX& MORKELS",MIDRAND,,,ESTHER,3,1,,,ESTHER,ESTHER,16:00,O001509,,P.O. BOX 75724,GARDENVIEW,2047,CHRISTINE (ACCOUNTS),,,00,1.0,C,N
O,001510,001510,2024-07-11,2024-07-11,1899-12-30,001,I,,RB0200,RIGA BROS,53 QUEEN STREET,LADYSMITH,3370,,,ESTHER,3,1,,,ESTHER,ESTHER,16:05,O001510,,P O BOX 366,,GABRIELLA,,,,00,1.0,C,N
I,001539,001484,1899-12-30,1899-12-30,2024-07-12,003,,,CIG010,CAST IN GLASS,7 SERCAL CRESCENT,"GOEDEMOED, DURBANVILLE",,7550,REMAX,,0,1,,,,,,I001484,,,,,,,,00,1.0,,
I,001540,001509,1899-12-30,1899-12-30,2024-07-12,001,,,TSS020,TROPHY SUPA SUPPLY T/A TROPHYCITY MEGA S,ALLANDALE INDUSTRIAL PARK,"UNIT G85,CNR LE ROUX& MORKELS",MIDRAND,,,,0,1,,,,,,I001509,,,,,,,,00,1.0,,
O,001511,001511,2024-07-12,2024-07-12,1899-12-30,003,I,,IT0100,ITROPHIES (PTY) LTD,80 MAIN ROAD,FARRAMERE,BENONI,,,BIANCA P,2,1,,,BIANCA P,BIANCA P,08:39,O001511,,,,,,,,00,1.0,C,N
I,001541,001511,1899-12-30,1899-12-30,2024-07-12,003,,,IT0100,ITROPHIES (PTY) LTD,80 MAIN ROAD,FARRAMERE,BENONI,,,,0,1,,,,,,I001511,,,,,,,,00,1.0,,
O,001512,001512,2024-07-12,2024-07-12,1899-12-30,001,I,,SN0200,TROJAN GLASSWORKS CC,"NGWENYA GLASS VILLAGE,",C/O BEYERS NAUDE&R114 DIEPSLOT,MULDERSDRIFT;,1747,,ESTHER,1,1,,,ESTHER,ESTHER,09:26,O001512,(MONIQUE),P.O.BOX 321,MULDERSDRIFT 1747,BUZZ: 082-785-7397,,,,00,1.0,C,N
I,001542,001512,1899-12-30,1899-12-30,2024-07-12,001,,,SN0200,TROJAN GLASSWORKS CC,"NGWENYA GLASS VILLAGE,",C/O BEYERS NAUDE&R114 DIEPSLOT,MULDERSDRIFT;,1747,,,0,1,,,,,,I001512,,,,,,,,00,1.0,,
I,001543,001507,1899-12-30,1899-12-30,2024-07-12,003,,,TB0100,TROPHY BOUTIQUE,301 TREVOR GETHING; CNR OF,JACQUELINE & TREVOR GETHING,"GARSFONTEIN, PRETORIA",0042,,,0,1,,,,,,I001507,,,,,,,,00,1.0,,
I,001544,001500,1899-12-30,1899-12-30,2024-07-12,003,,,TA0100,ANTEL TRADING (PTY) LTD,T/A: TROPHY AFRICA,SHOP 3; HEATHWAY CENTRE,BLACKHEATH,,,,0,1,,,,,,I001500,,,,,,,,00,1.0,,
O,001513,001513,2024-07-12,2024-07-12,1899-12-30,003,I,,TOG010,TOUCH OF GLASS SEEKING SIGNS,UNIT 1; ASTRO PLACE,CNR FLEMING & VAN DER BIJL STR,MEADOWDALE,1477,,BIANCA P,1,1,,,BIANCA P,BIANCA P,12:43,O001513,SEEKING@IAFRICA.COM,P.O. BOX 7016,WESTWOOD,1477,,,,00,1.0,C,N
I,001545,001513,1899-12-30,1899-12-30,2024-07-12,003,,,TOG010,TOUCH OF GLASS SEEKING SIGNS,UNIT 1; ASTRO PLACE,CNR FLEMING & VAN DER BIJL STR,MEADOWDALE,1477,,,0,1,,,,,,I001513,,,,,,,,00,1.0,,
O,001514,001514,2024-07-12,2024-07-12,1899-12-30,001,I,,TP0200,TROPHIES AND PLAQUES (PTY) LTD,TRADING AS: TROPHYSTORE,"UNIT H1 ROETE 24, 50 HERMAN ST","MEADOWDALE, GERMISTON",1609,,ESTHER,1,1,,,ESTHER,ESTHER,12:46,O001514,,,,,ELOISE@TROPHYSTORE.CO.ZA,,,00,1.0,C,N
I,001546,001514,1899-12-30,1899-12-30,2024-07-12,001,,,TP0200,TROPHIES AND PLAQUES (PTY) LTD,TRADING AS: TROPHYSTORE,"UNIT H1 ROETE 24, 50 HERMAN ST","MEADOWDALE, GERMISTON",1609,,,0,1,,,,,,I001514,,,,,,,,00,1.0,,
O,001515,001515,2024-07-12,2024-07-12,1899-12-30,003,I,,TB0100,TROPHY BOUTIQUE,301 TREVOR GETHING; CNR OF,JACQUELINE & TREVOR GETHING,"GARSFONTEIN, PRETORIA",0042,,BIANCA P,5,1,,,BIANCA P,BIANCA P,15:18,O001515,,P.O. BOX 335,GARSFONTEIN WEST,0042,COENIE@TROPHYMB.CO.ZA,,,00,1.0,C,N
I,001548,001510,1899-12-30,1899-12-30,2024-07-15,001,,,RB0200,RIGA BROS,53 QUEEN STREET,LADYSMITH,3370,,,,0,1,,,,,,I001510,,,,,,,,00,1.0,,
O,001516,001516,2024-07-15,2024-07-15,1899-12-30,001,I,,MSB010,MDLAYI SPORTS BRAND,20685 ORINOCO CRESCENT,PROTEA GLEN EXT 20 SOWETO,GAUTENG,1818,,ESTHER,1,1,,,ESTHER,ESTHER,10:14,O001516,,,,,TROPHIES.BADGES@GMAIL.COM,,,00,1.0,C,N
I,001549,001516,1899-12-30,1899-12-30,2024-07-15,001,,,MSB010,MDLAYI SPORTS BRAND,20685 ORINOCO CRESCENT,PROTEA GLEN EXT 20 SOWETO,GAUTENG,1818,,,0,1,,,,,,I001516,,,,,,,,00,1.0,,
O,001517,001517,2024-07-15,2024-07-15,1899-12-30,001,C,,GSM010,GSM ENGRAVING,CNR ZASTRON & MARKGRAAF STREET,WESTDENE,BLOEMFONTEIN,9300,,,6,1,,,ESTHER,ESTHER,13:20,O001517,,,,,,,,00,1.0,C,N
O,001518,001518,2024-07-15,2024-07-15,1899-12-30,003,I,,CC0100,CRYSTAL CONCEPTS,10 ROSS STREET,BOKSBURG WEST,,1460,,BIANCA P,3,1,,,BIANCA P,BIANCA P,13:28,O001518,,,,,,,,00,1.0,C,N
O,001519,001519,2024-07-15,2024-07-15,1899-12-30,003,I,,PA0400,PRESTIGE AWARDS (PTY) LTD,419 CORK AVE,"FERNDALE, RANDBURG",,,,BIANCA P,2,1,,,BIANCA P,BIANCA P,14:01,O001519,,P.O. BOX 444,FERNDALE 2160,LESLEY/JENNY,JENNY / FIONA,,,00,1.0,C,N
